gs_name	gene_symbol
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	TTC3
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	UBE2K
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ABCB4
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ABCC6
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ABHD2
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ACAA2
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ACADM
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ACADS
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ACADSB
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ACADVL
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ACO1
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ACOX1
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ACOX2
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ACSL1
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ACY1
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ADA2
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ADH4
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ADH6
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ADK
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	AGL
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	AGXT
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	AKR1C1
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ALAS1
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ALDH1A1
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ALDH1B1
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ALDH2
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ALDH3A2
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ALDH4A1
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ALDH6A1
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ALDH7A1
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ALDOB
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ALPL
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	AMFR
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	AMT
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ANXA6
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	AOC1
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	APCS
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	APOA1
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	APOC2
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	APOC4
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	APOH
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	AQP7
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ARG1
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ARHGEF12
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ARSA
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ASCL1
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ASGR1
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ASGR2
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ASL
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ASS1
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ATOX1
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ATP5F1D
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	ATP5PF
